CRS,municipio
16ª CRS,Canudos do Vale
16ª CRS,Capitão
16ª CRS,Colinas
16ª CRS,Coqueiro Baixo
16ª CRS,Cruzeiro do Sul
16ª CRS,Dois Lajeados
16ª CRS,Doutor Ricardo
16ª CRS,Encantado
16ª CRS,Estrela
16ª CRS,Fazenda Vila Nova
16ª CRS,Forquetinha
16ª CRS,Ilópolis
16ª CRS,Imigrante
16ª CRS,Lajeado
16ª CRS,Marques de Souza
16ª CRS,Muçum
16ª CRS,Nova Bréscia
16ª CRS,Paverama
16ª CRS,Poço das Antas
16ª CRS,Pouso Novo
16ª CRS,Progresso
16ª CRS,Putinga
16ª CRS,Relvado
16ª CRS,Roca Sales
16ª CRS,Santa Clara do Sul
16ª CRS,São José do Herval
16ª CRS,São Valentim do Sul
16ª CRS,Sério
16ª CRS,Taquari
16ª CRS,Teutônia
16ª CRS,Travesseiro
16ª CRS,Vespasiano Corrêa
16ª CRS,Westfália
17ª CRS,Ajuricaba
17ª CRS,Augusto Pestana
17ª CRS,Bozano
17ª CRS,Campo Novo
17ª CRS,Catuípe
17ª CRS,Chiapetta
17ª CRS,Condor
17ª CRS,Coronel Barros
17ª CRS,Crissiumal
17ª CRS,Humaitá
17ª CRS,Ijuí
17ª CRS,Inhacorá
17ª CRS,Jóia
17ª CRS,Nova Ramada
17ª CRS,Panambi
17ª CRS,Pejuçara
17ª CRS,Santo Augusto
17ª CRS,São Martinho
17ª CRS,São Valério do Sul
17ª CRS,Sede Nova
18ª CRS,Arroio do Sal
18ª CRS,Balneário Pinhal
18ª CRS,Capão da Canoa
18ª CRS,Capivari do Sul
18ª CRS,Caraá
18ª CRS,Cidreira
18ª CRS,Dom Pedro de Alcântara
18ª CRS,Imbé
18ª CRS,Itati
18ª CRS,Mampituba
18ª CRS,Maquiné
18ª CRS,Morrinhos do Sul
18ª CRS,Mostardas
18ª CRS,Osório
18ª CRS,Palmares do Sul
18ª CRS,Santo Antônio da Patrulha
18ª CRS,Tavares
18ª CRS,Terra de Areia
18ª CRS,Torres
18ª CRS,Tramandaí
18ª CRS,Três Cachoeiras
18ª CRS,Três Forquilhas
18ª CRS,Xangri-lá
